Código;Tipo;Nome
1;A;Noah Silva
2;P;Maria Vitória Oliveira
3;U;Dr. Diogo Oliveira
4;U;Enrico da Conceição
5;U;Maria Cecília da Cruz
6;P;Emanuella Aragão
7;U;Bernardo da Cunha
8;P;Mariana da Cruz
9;U;Dra. Isadora Cunha
10;P;Mirella Vieira
11;P;Marcelo Lopes
12;P;Dr. Bruno Moura
13;U;Dra. Ana Carolina Martins
14;P;Ana Nunes
15;A;Isis Costela
16;P;Sr. Thales Nascimento
17;U;Miguel Dias
18;A;Kaique Sales
19;U;Ryan das Neves
20;P;André Santos
21;P;Camila da Mota
22;U;Kevin Farias
23;A;Catarina Pereira
24;U;Antônio Ramos
25;P;Mariane Pires
26;U;Dra. Milena Cardoso
27;P;Bruna Azevedo
28;A;Theo Barbosa
29;A;Bryan Nunes
30;U;Sra. Daniela da Cruz
31;P;Fernanda Fogaça
32;A;Dr. Luigi Sales
33;A;Yago Santos
34;A;Letícia Almeida
35;U;Cauã Nunes
36;U;João Pedro Nascimento
37;A;Levi das Neves
38;U;Vitor Hugo Martins
39;U;Murilo da Paz
40;A;Pedro Carvalho
41;U;Dr. Enrico Aragão
42;A;Helena Vieira
43;U;Luiz Gustavo Gomes
44;P;Dr. Francisco Pinto
45;A;Pedro Lucas Araújo
46;A;Dra. Lorena Rocha
47;A;Thomas Moraes
48;P;João Gabriel Farias
49;P;Srta. Sarah Lopes
50;P;Isabella Pires
51;P;Sr. Augusto Aragão
52;A;Emanuella Novaes
53;U;Paulo Farias
54;U;Melissa Barros
55;P;Vitor Cunha
56;U;Melissa Farias
57;A;Maria Cecília Azevedo
58;A;Isis Duarte
59;P;Ana Beatriz Carvalho
60;U;Igor Silva
61;A;Mirella da Cunha
62;P;Rafael Jesus
63;A;Lorena da Rocha
64;U;João Miguel Peixoto
65;U;Ian Rocha
66;U;Ian Novaes
67;P;Letícia Freitas
68;P;Beatriz Ramos
69;U;Rebeca Aragão
70;U;Julia Castro
71;U;Lucas Gabriel Moreira
72;U;Enzo Alves
73;P;Marina Teixeira
74;P;Thiago Peixoto
75;A;Sr. Igor Cunha
76;U;Heloísa Monteiro
77;A;Pietro Nascimento
78;P;Dr. Marcelo Nunes
79;A;Lucca Castro
80;U;Heloísa Costa
81;U;Caroline da Rocha
82;P;Isadora Aragão
83;U;Dra. Caroline Rodrigues
84;A;Sr. Kaique Araújo
85;A;Sarah Lopes
86;A;Catarina da Luz
87;P;Luigi Novaes
88;U;Sr. Breno Jesus
89;A;Agatha Gonçalves
90;U;Dr. Bernardo Vieira
91;A;Maria Clara Ramos
92;A;Calebe Gonçalves
93;U;Davi Luiz Rocha
94;U;Isabelly Cunha
95;A;Leonardo Costa
96;U;Larissa da Luz
97;P;Alice da Mata
98;P;Dra. Heloísa Moreira
99;A;Beatriz da Rosa
100;U;Bruna Pinto
101;U;Sr. Noah Alves
102;A;Davi Lucca da Rosa
103;A;Gustavo Henrique Silveira
104;P;Guilherme Viana
105;U;Maria Luiza Nascimento
106;P;Augusto Duarte
107;U;Natália Gonçalves
108;A;Laís Teixeira
109;P;Sr. João Lucas da Conceição
110;U;Danilo Farias
111;P;Eloah Sales
112;U;Luiz Henrique Melo
113;P;Alexandre Lima
114;P;Isabel Campos
115;A;Ana Júlia Rodrigues
116;P;Dr. Guilherme Duarte
117;P;Marcela Silva
118;A;Benício Rocha
119;P;Calebe da Paz
120;U;Vicente Rezende
121;P;Igor Dias
122;P;Enrico Monteiro
123;A;Felipe Pereira
124;U;Gustavo da Luz
125;U;Vitor Gabriel Fernandes
126;U;Maria Vitória Nunes
127;A;Catarina Fogaça
128;A;Dra. Rafaela da Cruz
129;P;Raul Vieira
130;P;Igor Aragão
131;A;Marcela Santos
132;U;Rebeca Rocha
133;P;João Miguel Cardoso
134;A;Laura Martins
135;A;Emanuelly Aragão
136;P;Emanuel da Cunha
137;A;Pedro Miguel Pinto
138;P;Kaique Pinto
139;P;Maria Eduarda Barbosa
140;U;Luiz Miguel Alves
141;A;Stella Lopes
142;P;Ana Laura Cunha
143;U;Dr. Nathan Novaes
